Maksim Znak,Sviatlana Aleksievich,Liliya Vlasova,Pavel Latushka,Siarhei Dyeleuski,Volha Kavalkova,Maria Kalesnikava,Anton Radniankou,Ivan Kravtsov,Franak Vyachorko,Sviatlana Tsikhanouskaya,Illia Salei,Veranika Tsapkala,Syarhei Tsikhanouskaya,Ales Alachnovic,Aliaksandr Dabravolski
0,1,4,10,2,6,18,2,2,0,2,3,0,0,0,0
1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,6,2,2,6,0,1,0,0,0,0,0,0,0
10,2,6,0,6,9,9,2,2,0,4,0,0,0,0,0
2,0,2,6,0,6,3,1,2,0,1,0,0,0,0,0
6,0,2,9,6,0,3,2,3,0,4,0,0,0,0,0
18,0,6,9,3,3,0,7,8,0,9,7,9,0,0,0
2,0,0,2,1,2,7,0,11,0,1,3,0,0,0,0
2,0,1,2,2,3,8,11,0,0,1,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2,0,0,4,1,4,9,1,1,2,0,0,9,1,1,1
3,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0
0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
